%% LaTeX2e file `data.dat'
%% generated by the `filecontents' environment
%% from source `Ramp_Acceleration' on 2014/10/10.
%%
    xVal   yVal     xDel  yDel
    0.6016 0.034414 0.075 0.003536
    1.249  0.1666   0.075 0.0019
    2.057  0.30314  0.075 0.00964
    2.981  0.4459   0.075 0.0048
    3.750  0.58386  0.075 0.00484
